"ont"	"label"	"sample"	"dataset"
"CL:0000576"	"Monocytes"	"monocyte.1"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.8"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.9"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.10"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"endothelial.cell.of.umbilical.vein..proliferating..1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"endothelial.cell.of.umbilical.vein..resting..1"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.11"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.10"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.11"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.12"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte.2"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.12"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.13"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.14"	"Blueprint-Encode"
"CL:0000890"	"Macrophages M2"	"alternatively.activated.macrophage.3"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte.3"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.15"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.16"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.17"	"Blueprint-Encode"
"CL:0000556"	"Megakaryocytes"	"CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.4"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.13"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.14"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.15"	"Blueprint-Encode"
"CL:0000771"	"Eosinophils"	"mature.eosinophil"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.16"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"band.form.neutrophil"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"segmented.neutrophil.of.bone.marrow"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"band.form.neutrophil.1"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"segmented.neutrophil.of.bone.marrow.1"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"band.form.neutrophil.2"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"segmented.neutrophil.of.bone.marrow.2"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte.4"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte.5"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte.6"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte.7"	"Blueprint-Encode"
