NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
ATP5O	10.81	80.745	571.04	104.73	74.88	77.27	72.58	60.41	59.6	55.34	66.73	79.4	69.33	714.36	451.79	969.57	530.65	165.44	102.6	788.29	361.92	82.13	120.13	99.97	67.065	64.35	26.68	42.005	55.445	69.455	60.365	102.96	36.615	78.71	137.86	103.975	57.285	49.03	785.02	38.235	35.72	166.84	122.6
ATP5S	1	6.23	56.955	9.83	5.07	5.38	3.92	4.53	6.3	5	7.385	4.9	5.02	57.805	53.405	43.46	29.13	7.01	7.5	52.6	70.64	8.89	5.24	3.915	3.11	4.89	7.01	3.36	2.99	2.43	1.775	2.94	2.775	5.42	5.945	1.65	2	4.67	56.845	1.83	1.41	3.49	3.475
ATP6AP1	33.65	41.2	62.345	14.49	16.02	14.86	12.1	14.65	17.73	20.77	9.235	10.53	7.18	21.635	51.09	7.61	60.41	159.2	14.94	16.21	61.87	90.62	192.58	249.96	33.27	55.05	34.88	32.035	11.76	21.195	26.805	28.32	27.43	5.12	15.195	39.955	19.765	11.59	22.535	32.18	11.84	78.415	32.705
ATP6V0A1	36.48	34.205	36.115	4.67	2.57	1.72	1.11	1	1.18	1	22.465	9.46	4.78	30.445	26.4	1	19.53	68.35	10.42	75.4	107.28	26.94	32.19	50.395	12.72	24.67	57.05	26.365	23.695	11.595	24.225	17.78	43.05	19.58	12.625	11.76	13.81	24.61	174.95	19.8	19.065	18.475	21.27
ATP6V0A4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.065	1	1	1	1	1	1	1	1	1	1
ATP6V0D2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.76	1	1	1	1	47.99	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATP6V0E2	1	2.025	11.195	23.41	25.73	20.65	15	15.98	13.16	9.82	4.615	5.05	3.51	13.525	15.925	1.11	12.16	11.855	27.08	1.28	1.9	1	8.13	11.22	7.7	1.22	2.56	1.78	6.34	3.885	7.17	7.92	12.435	2.62	1.365	15.765	7.81	4.18	23.33	5.96	4.98	10.01	46.155
ATP6V1B2	153.95	102.59	12.26	12.11	11.03	9.74	8.84	12.15	13.93	14.66	7.535	9.1	6.38	18.02	13.925	10.95	25.93	356.525	11.89	39.16	40.83	56.54	328.76	212.62	29.81	64.96	81.09	5.77	50.495	26.825	34.1	30.945	103.135	16.45	26.36	35.99	35.715	26.01	72.715	28.705	24.995	35.26	19.69
ATP6V1D	41.97	31.775	33.915	13.66	18.01	12.8	12.02	16.76	19.58	28.23	10.695	10.98	10.01	16.04	13.09	17.71	32.44	150.405	10.8	90.67	131.83	46.78	183.24	345.14	33.025	60.07	18.47	12.13	47.47	37.42	48.49	43.57	50.21	18.52	39.965	32.775	62.73	17.66	354.225	45.585	24.085	91.26	32.64
ATP6V1F	11.07	113.62	343.475	22.24	29.92	23.29	25.64	24.66	25.95	32.36	33.835	28.38	21.78	337.945	205.04	319.96	251.97	298.645	28.91	264.28	302.32	86.63	265	351.175	34.26	57.8	17.96	29.165	21	39.73	36.725	59.8	52.255	17.3	90.565	51.86	55.205	37.71	676.18	24.62	26.325	101.95	102.145
ATP6V1G1	57.61	98.13	354.99	129.21	96.48	89.97	87.17	77.46	73.09	61.99	98.885	80.92	69.18	581.655	402.915	790.05	383.35	120.215	119	283.56	371.77	65.31	126.46	140.735	49.99	140.3	37.53	35.015	32.26	49.035	48.045	78.995	72.795	35.51	80.6	53.125	57.625	37.48	183.53	55.615	18.715	73.52	50.345
ATP6V1G2	1	1	2.355	1.59	1	1	1	1	1	1	1.235	1	1	1.07	1.19	1	2.07	1	2.02	1	1	1	1	1	1	1	1	1	1.175	1.21	1.355	1	1	1	1	1	1.38	1	91.675	1	1	1.715	1
ATP6V1G2-DDX39B	1	1	55.995	1	1	1	1	1	1	1	1	1	1	25.575	15.24	17.6	32.1	1	1	16.55	20.95	1	1	1	1	1	1	1	3.705	1.02	1	1	1	1.91	1	1.23	1	2.58	1.62	1.015	1	2.635	2.87
ATP6V1H	12.33	24.825	30.125	23.07	21.15	20.05	16.82	18.64	21.71	23.59	19.11	14.99	13.48	34.835	22.57	36.27	28.06	145.655	20.38	35.05	22.71	28.39	232.95	206.795	26	55.12	49.52	5.22	29.52	23.965	27.365	32.23	36.035	11.23	49.335	28.14	28.29	11.49	268.44	19.72	15.1	38.105	22.575
ATP8A1	14.33	8.815	4.475	57.52	12.81	12.19	7.98	30.99	54.07	55.3	48.45	15.57	21.09	5.6	7.325	3.47	6.73	4.895	140.53	1	6.62	4.44	2.24	3.355	4.33	47.02	10.69	15.055	1.75	1	1	1	1	8.2	1	3.06	1.04	5.01	7.47	1	1	1	2.685
ATP8B1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.59	1	1	1	14.81	9.685	21.2	9.96	1	1	4.065	23.63	17.76	2.32	1	6.965	11.485	13.18	11.24
ATP8B2	1	1.355	2.76	51.85	121.15	92.29	77.95	57	57.89	20.01	6.65	9.32	9.94	1.375	6.025	1	6.37	1.565	29.99	1	4.09	2.91	2.7	1	23.95	5.4	58.73	21.325	97.135	47.06	74.57	15.66	28.065	2.15	10.6	25.425	41.43	12.28	1.2	60.055	46.315	80.69	27.535
ATP8B3	1	1	4.195	1	1.05	1	1	1	1	1	1	1	1	1	1.495	1.34	1.3	1.025	1	2.42	1	5.61	1	1	1	1.46	4.91	1.005	1.25	1	1	1	1	1	1	1	1	1	1	1	1	1	2.86
ATP8B4	13.05	14.68	33.235	1	1	1	1	1	1	23.69	1	1	1	39.8	48.19	41.13	35.49	38.65	23.83	1	1	173.41	11.14	17.88	1	16.67	42.57	1	2.835	1	1.81	1	1	1	1	1	1	9	1	1.285	1	1	1
ATP9A	3.06	1	1	1	1	1	1	1	1	5.87	1	1.56	1	3.395	2.625	1	1.5	1.68	1	1	1	2.54	1.9	24.025	15.735	1	1	1	8.73	5.965	13.79	10.995	3.305	7.16	2.61	15.935	5.845	17.42	4.565	8.59	9.675	9.54	16.085
ATRNL1	1	1	1	1	1	1	1	1	1	1	1	1.63	1.95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.41	1	1	1	4.565	1.6	1	1	2.2	1	61.515	1.29	1	1	15.96
ATXN10	1	21.08	132.785	22.98	15.19	17.71	13.43	18.94	19.67	21.12	17.755	14.4	11.73	100.585	79.67	94.17	146.17	21.92	21.54	28.4	25.67	30.01	14.54	20.585	26.725	17.85	27.89	25.62	33.74	33.97	38.84	33.06	15.305	20.38	30.595	25.435	31.915	20.83	179.52	30.1	17.6	25.835	38.29
ATXN7	34.2	16.57	9.885	70.85	22.63	27.42	13.95	14.58	22.55	13.91	13.545	9.18	7.97	11.86	5.76	8.2	9.63	7.81	45.46	2.89	7.7	19.01	4.9	13.07	4.47	33.53	26.31	2.66	8.06	3.56	2.96	4.385	4.31	4.61	5.025	4.1	2.82	6.55	1.91	4.87	4.95	6.325	3.08
AUH	4.6	5.475	2.365	12.65	6.73	5.98	4.14	7.35	9.7	10.51	9.52	6.63	6.31	2.525	1	1.04	1.98	9.63	11.09	2.37	1.26	14.16	3.57	12.175	4.04	130.68	8.75	6.495	5.835	7.5	9.47	7.295	4.94	5.24	6.08	3.535	3.98	9.32	83.885	5.365	5.375	5.53	5.24
AURKA	1.34	1.49	1.825	1	1.3	1	1	1	1	1.36	1	1	1	1	1	1	1	6.085	1	66.04	37.24	14.29	10.59	4.91	11.655	7.32	3.03	4.415	7.635	8.035	4.025	10.05	19.035	1.11	29.01	19.59	4.35	1	2.855	17.98	15.045	18.9	26.61
AURKB	1.19	1	14.15	1	1.71	1	1	1	1	1	1	1	1	1	2.6	1	1	1.27	1.41	118.2	50.07	22.65	2.54	1	11.08	1	3.18	2.31	4	3.405	1.575	11.105	10.98	1	36.29	24.785	1.19	1	1	12.095	9.17	4.685	47.39
AUTS2	1	1.24	4.92	1	1.53	4.26	4.08	5.5	8.44	13	19.4	14.38	6.38	1	3.065	1.46	1.55	1	8.45	1	1	4.28	1	1	1	2.22	1	1	14.685	1.7	1.16	3.25	2.305	2.96	4.84	1	1	6.03	36.48	1	2.25	6.325	5.76
AVEN	1	1.725	4.58	4.02	3.23	3.38	3.56	3.82	4.78	5.06	2.685	2.25	1.63	3.465	1	1	2.52	3.765	4.49	3.89	1	4.52	5.04	2.445	10.11	14.15	1	4.42	7.675	9.135	11.62	10.42	3.56	6.18	16.945	11.965	12.895	4.25	4.7	10.95	5.45	31.045	6.35
AVPI1	1	4.39	1.665	1.49	1.77	2.73	3.24	2.31	2.64	3.29	1	1.87	1.36	1	2.54	1	1	21.62	1	1.86	1	1	13.18	37.89	1.09	8.3	1	1.21	27.01	8.295	7.95	8.595	78.28	1.23	13.19	1.765	8.46	18.94	5.61	11.465	8.935	7.22	5.63
AVPR1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.14	1	1	1	1	1
AXIN1	9.28	9.105	1.61	14.49	16.11	14.16	15.93	17.31	23.29	42.07	11.545	10.9	6.38	1	1	2.58	1.19	11.845	12.47	1	1	12.35	8.21	10.27	7.305	11.92	52.42	4.36	5.02	7.56	6.925	16.52	7.11	7.38	21.66	9.2	6.04	4.24	1	8.67	5.865	11.45	13.29
AXIN2	1	1	1	23.82	1.57	13.94	8.1	3.66	2.04	1	4.23	1	1	1	1	1	1	1	10.09	1	1	1	1	1	1.195	1	1	1	5.575	1.655	1.11	1	1.055	4.07	1	1	1.375	1.21	1.55	1	1.025	2.745	2.575
AXL	1	1.135	3.51	1	1	1	1	1	1	1	1	1	1	5.03	3.235	1	5.16	1	1	1	1	1	1	1	29.235	1	1	1	128	93.675	69.55	50.015	6.355	8.08	45.515	56.345	55.455	19.41	1.855	131.11	97.61	81.865	190.535
AZGP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.12	1	1	1	19.28	1	1	1	1	1
AZU1	1.24	1.02	1	1	1	1	1	1	1	1	1	1	1	1	1.025	1	49.04	1.82	33.25	1.32	1	220.87	1	1	1	1	126.14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B2M	10796.66	8190.92	5796.28	7659.75	11281.58	8963.48000000002	10570.49	10169.25	10969.78	10320.8	3616.68	5210.99	4561.53	13612.89	7280.91	25709.15	11739.71	9178.31	7064.47	4126.57	11673.7	4527.38	9486.56	10834.42	1267.635	25032.31	3335.56	3044.31	1530.27	1329.02	1092.87	705.985	1302.045	327.61	668.055	2524.21	1548.595	1610.54	2814.525	1347.62	373.2	2380.6	912.435
B3GALT6	1	1.9	1	4.03	3.14	4.17	3.67	4.68	5.62	7.03	3.795	5.95	3.38	1	1	1	1	8.16	4.47	1	1	4.86	5.86	4.235	9.725	3.55	5.21	2.335	6	11.945	9.74	14.21	7.27	4.66	13.435	11.22	9.91	2.53	1	11.79	6.77	16.34	19.41
B3GNT7	1	1	1.3	1	1	1	1	1	1	27.07	1.12	2.38	1.76	3.415	2.305	13.13	8.85	1	1	1	1	2.65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.455	4.365
B3GNT8	22	1.39	1	1	1	1	1	1	1.35	1	1	1	1	1	1	1	1	9.11	1	1	1	1	4.83	4.19	1.375	1	45.51	1	1	1.01	1	1.225	1	1	4.41	1	1	1	1	1	1	1	1.455
B3GNT9	1.19	1	1	1	1	3.59	3.34	1.29	1.28	1	1	1	1	1	2.115	1	1	1	1	1	1	1	1	1	1.235	1	1.14	2.785	16.415	16.215	13.68	4.405	3.7	1	11.785	1.76	9.2	1.59	1	19.385	6	19.92	4.86
B3GNTL1	21.23	7.265	42.345	4.09	4.03	3.37	3.69	3.47	6.36	2.78	1.87	1.73	1	13.94	16.955	10.08	39.72	6.195	5.58	2.3	1.63	37.95	1.52	1.345	2.895	2	7.15	2.035	1.565	2.77	2.505	2.2	1.71	1.13	2.25	4.505	2.57	2.04	7.065	3.23	3.25	17.415	5.005
B4GALNT4	1	1	1	1	1	1	1	2.55	2.13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.1	1.05	7.31	4.14	1	9.045	1	1	1	1	1	1	17.01	9.185
B4GALT2	1	1	4.22	1	1	1	1	1.14	1.79	1.23	1.775	2.54	1.38	1	1.1	1	2.84	5.025	1	2.58	1	2.43	4.66	10.745	23.815	2.01	1.53	9.705	29.375	29.17	27.955	34.655	14.685	15.97	81.74	34.885	32.625	10.48	1	33.675	26.96	95.65	66.61
B4GALT3	4.42	12.025	73.27	14.81	17.35	9.96	8.64	13.59	16	13.94	6.735	7.6	4.6	28.115	35.635	53.83	43.68	11.03	14.38	35.68	51.34	13.87	9.9	11.63	11.66	5.18	8.9	47.12	4.715	7.345	6.135	13.03	8.185	8.61	20.895	13.915	9.8	6.78	6.865	10.98	5.27	23.8	23.255
B9D1	1	1	11.82	1	1	1	1	1	1	1	1	1	1.16	4.41	7.395	1	1	2.495	1	16.09	1.48	1	2.54	1.025	5.54	1	1	15.28	9.05	8.745	12.005	10.05	6.025	3.36	17.87	8.315	9.44	2.52	35.165	15.24	6.335	8.58	17.695
BAALC	1	1	7.555	1	1	1	1	1	1	3.55	1.025	1	1	21.225	44.17	122.91	19.78	1	1	1	1	4.97	3.03	1	1	1.97	1	1	1.015	2.145	1.495	1	1	1	1	1	1	1	7.605	1.28	1	6.75	1.83
BACE1	1	1.44	1	1	1	1	1	1	1	1	1	1	1	1.76	1.995	1	3.25	4.03	1	1	1.66	4.87	3.03	11.925	5.49	6.97	1	1.135	17.27	14.12	9.64	6.12	5.105	2.13	6.89	6.745	7.475	6.68	6.77	13.39	8.325	19.88	14.8
BACE2	1	1	1.875	1	1	1	1	1	1	1	13.485	21.24	11.41	1	2.08	1	1	1	1	2.06	2.3	1	1	1	100.82	1	55.43	1	25.345	14.495	13.73	35.85	73.675	2.71	31.59	115.365	25.92	8.38	1	4.66	5.84	73.085	11.54
BACH2	1	1	1.265	36.77	3.47	7.67	3.6	4.53	3.55	2.94	102.85	21.05	13.04	1.69	1.57	1.05	1	1	38.21	1	1	1	1	1	1	1	8.92	1	1	1	1	1	1	2.11	1.465	1	1	1.16	1	1	1	1	1.595
BAG2	1	1	1.825	3.4	1	1.28	1	1.47	1.76	1.08	1.125	1.12	1.44	1	1	1	1.62	1	1	5.87	4.11	1	1.13	1	1	1.66	1	1	25.59	8.33	7.25	2.15	1	1.94	1.395	2.08	7.605	1.06	2.19	4.69	6.905	7.46	4.7
BAHCC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.66	1	1	1	1	8.73	1	1	2	1	3.14	1	4.135	4.005	1.76	2.71	6.145	1.74	1.58	3.865	1.145	1.86	1	2.07	2.175	1.98	6.42
BAIAP2	2.87	8.495	1	1.62	1	1.2	1.06	1.09	1.56	1.31	1	1	1	1	1.82	1	6.53	19.455	1.94	1	1	4.5	6.11	13.255	7.495	5.11	3.69	1	12.3	11.355	5.34	29.975	17.63	3.34	32.8	11.095	7.155	5.64	109.335	9.615	9.115	35.35	39.195
BAIAP2L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.555	5.705	1.135	1	10.435	4.905	1	17.335	1	1.005	1	1	3.1	1	7.18	9.31
BAIAP3	5.68	1	1	1	1	2.11	3.81	4.44	7.54	1.8	5.515	10.23	38.86	1	1	1	1	1	1	1	1	1	1	1	1	1	56.18	1.495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BAMBI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.89	1.07	1	1	1.19	1	1.81	1	12.055	1.695	3.195	6.895	64.585	1	1.445	1	3.4	1	49.895	43.94	1	26.31	8.945
BANF1	1	18.405	370.965	14.24	14.96	12.83	12.68	15.18	17.55	28.09	13.65	19.38	13.8	219.88	149.255	125.97	215.04	26.66	17.65	369.36	241.58	28.45	29.47	33.99	11.855	18.81	20.58	19.86	13.15	21.97	6.325	16.76	6.815	18.48	56.875	30.36	14.27	6.86	201.965	7.85	7.96	29.2	50.565
BANK1	1	1.485	1.02	1	1	1	1	1	1	1	172.825	151.8	163.32	4.235	1	8.62	1	1	1	1.28	35.79	1	1	1	1	1	8.12	4.38	1.11	1	1	1	1	1	1	1	1	2.08	1.535	1	1	1	1
BASP1	276.2	28.305	1.535	1	1	1	1	1	1	1	12.01	16.44	11.89	2.525	3.26	1	2.28	47.925	5.67	3.42	2.2	12.77	45.33	18.24	12.16	137.05	84.98	25.025	57.52	36.88	42.085	57.155	4.155	1.07	88.12	22.965	25.44	8.44	1.855	64	23.145	94.92	32.4
BATF	4.7	3.97	12.26	4.41	24.9	10.82	15.09	14.08	18.67	21.13	1.025	3.67	2.91	2.08	7.32	6.26	5.7	19.12	2.21	1.57	6.17	10.02	13.55	3.155	1	20.72	3.24	5.405	1	1	1	1	1.66	1	1	1	1	2.62	1	1	1	1	1
BATF3	1.04	5.145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.02	2.995	1	1	1	1	1.06	3.15	1	224.8	1	1	1	1	1	1	1	1	1	1	1.14	1	5.805	1	1.11	1.12	1.24
BBS5	1	1	1	1.03	1	1	1	1	1.11	1	1	1	1	1	1.025	1	1	3.57	1	1	1	1	2.92	3.375	1.34	1	1	1	2.985	2.205	2.065	1.99	13.485	1.94	1.71	1.145	1.555	1.83	13.18	2.315	1.62	3.75	2.07
BCAM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.265	1	1	1	3.92	5.315	3.435	13.6	1	6.56	21.37	15.03	4.39	10.12	1	2.045	1	45.725	53.135
BCAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21.445	1	1	1	1	1	8.12	1	1	1	1
BCAR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.37	1	1	1	1	13.98	14.72	57.225	1	1	1.475	15.49	25.285	15.59	32.635	11.82	33.98	51.685	102.96	12.73	6.16	6.695	45.5	12.695	52.78	88.515
BCAR3	1	1.24	1.25	1	1	1	1	1	1	1	1	1.78	1.8	1	1	1	1	9.05	1	1	1	1	8.1	26.245	16.575	11.07	1	11.265	6.735	11.835	8.875	32.955	12.63	4.94	53.535	21.655	15.66	12.45	1	20.28	5.97	25.975	35.335
BCAS2	11.22	28.3	198.975	39.23	24.75	25.16	24.26	18.37	23.1	21.47	35.84	14.22	12.34	232.14	174.24	160.36	128.42	23.43	66.18	115.24	71.55	14.5	27.88	28.825	16.63	12.77	4.51	10.55	16.245	13.06	15.435	21.035	11.785	6.32	23.035	14.975	17.755	9.12	166.355	14.175	8.865	20.325	17.445
BCAS4	1	1	13.385	8.72	2.44	3.36	2.32	5.17	4.16	3.24	13.955	20.01	15.94	9.78	8.115	6.58	28.11	1	6.65	1	1	1	1	1	1	1	1	4.245	2.15	3.835	5.28	4.755	1.585	1	8.485	1	5.355	1.01	1.46	4.065	1.12	20.165	11.155
BCAT1	1	8.105	48.46	1	1	1	1	1	1	1	1	1	1.29	89.53	56.245	38.55	65.8	53.495	1	52.26	110.61	1	105.78	8.5	69.69	7.3	1	2.045	47.055	44.855	68.01	25.055	1	1.55	16.27	50.475	45.54	12.19	8.46	87.065	57.04	53.07	32.78
BCCIP	1.6	17.755	93.06	25.27	18.5	16.85	16.09	16.33	16.55	16.34	16.6	15.2	14.52	70.655	47.84	116.63	89.55	26.895	28.61	198.33	63.6	19.94	32.6	27.9	20.26	10.71	2.95	10.615	15.435	16.86	12.595	19.67	11.96	13.79	42.395	24.3	15.02	12.29	79.1	10.27	15.27	19.505	14.75
BCHE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.295	1	1	1	1	1.64	1	1.205	8.08	1	1	1	1	1	12.105	1	1.2	2.82	1
BCKDK	14.03	13.495	47.43	2.14	3.28	2.4	1.99	2.53	2.68	2.98	2.72	2.76	2.13	11.06	14.965	4.31	36.09	23.195	3.6	3.55	7.53	12.07	22.02	28.41	13.935	14.51	21.98	28.595	10.98	23.655	6.145	16.86	12.63	8.64	38.605	23.6	16.05	10.4	5.165	17.13	13.245	18.03	50.12
BCL11A	1	4.18	30.735	1	1	1	1	1	1	1	39.265	28.29	18.02	42.05	28.76	101.95	28.51	6.875	3.91	15.98	2.16	14.66	7.29	1.28	1	12.49	2.46	2.395	1	1	1	1.35	1	1	1.79	1	1	1	117.47	1	1	1	2.02
BCL11B	1	1	1	90.52	50.06	58.47	35.5	37.4	42.35	14.24	1	1	1	1	1	1	1	1	47.54	1	1	1	1	1	1	1	1.46	1	1	1	1	1	1	1	4.575	1	1	1	1	1	1	1	1
BCL2	1	2.295	1.83	80.66	34.61	61.35	42.58	17.06	21.1	8.44	28.38	32.39	19.42	1	1.31	1	1	3.98	44.33	1	1	8.72	4.12	3.48	1	9.48	4.42	1	1.4	1.27	1	1	5.4	5.54	1.045	1	1	14.97	1	1.025	1.41	1	4.55
BCL2A1	560.87	367.9	3.225	15	4.53	12.89	9.63	16.06	12.43	5.97	7.1	26.85	23.84	17.665	2.7	1	6.4	247.405	4.19	1	1.44	15.14	424.63	437.565	1	149.36	75.32	1	1	1	1	1	39.26	1	1	1	1	1.69	1	1	1	4.09	1
BCL2L11	14.26	17.72	2.93	9.06	13.65	5.08	3.67	4.16	5.83	4.03	20.06	10.55	7.51	1	1.095	1	1	3.415	12.63	3.75	12.95	5.42	1.71	5.85	5.115	136.9	9.68	14.345	1.995	1.425	1	2.2	1.89	2.28	1.005	2.51	1	5.64	1	1	1	1.235	3.605
BCL2L14	1	1	1	1	1.18	1.34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL2L2-PABPN1	1	1.325	1	1	1	1	1	1	1	1	1	1	1	1.115	1.375	1	1.82	1.25	1	1	2.76	1	3.48	2.35	1	2.1	2.34	1.07	1.92	2.75	1	1.905	4.125	2.4	9.655	1	1.175	1	6.825	1.26	1.81	25.165	6.05
BCL3	49.1	30.555	2.625	2.71	5.59	5.18	4.03	3.28	4.62	2.64	5.87	5.81	3.51	2.14	3.555	1	2.48	3.02	1.33	1	1	2.05	6.48	1	1.62	13.39	38.01	14.44	4.34	8.965	2.925	5.815	1.54	1.91	7.89	6.04	2.02	3.31	3.385	4.935	1.865	9.105	21.11
BCL6	289.05	65.515	2.835	4.05	2.48	1.29	1.46	2.06	3.51	3.85	6.68	2.04	1	6.625	8.765	3.66	41.39	23.205	12.19	1	1	6.54	24.37	34.465	2.595	56.57	56.02	3.15	18.655	10.62	6.975	3.52	3.62	72.49	2.195	2.04	8.745	49.85	7.98	7.05	7.4	5.185	9.135
BCL6B	1	1	1	1	1	1	1	1	1	1	1	1	1	2.96	5.925	1	1.33	1	1	1	1.54	1	1	1	38.91	1	1	1	1	1	1	1	1	1	1	24.55	1	1.48	1	1	1	1	1
BCL7A	1	1	10.045	1.79	1	1.09	1	1	1	1	27.79	6.51	2.73	5.245	13.15	1.9	15.24	1	2.75	1.75	1	2.26	1.46	13.95	3.27	7.49	1	17.565	1.375	1.475	1.735	6.14	3.16	2.54	9.11	2.075	2.515	1.06	3.415	1.67	1.455	2.69	7.485
BCL7C	1.04	7.41	2.44	9.78	14.64	14.36	14.91	15.13	16.69	18.26	9.995	12.9	8.39	1.39	4.21	1	2.18	14.545	8.04	1	1	11.32	15.19	18.375	15.16	28.42	15.21	2.535	12.39	16.925	12.15	16.985	6.03	6.1	37.715	17.82	19.03	5.57	1.085	10.25	11.22	39.53	32.31
BCL9	1	1	1.575	1.88	1.81	1.9	1	1.11	1	1.14	1	1	1	1	1.84	1	1	1	1.59	1	1	1	1	1	1.825	1	3.4	4.105	2.955	2.54	1.375	3.68	2.755	1.8	12.4	1.44	1	2.31	2.285	1.71	1.29	3.175	9.735
BCL9L	1	2.805	1	18.38	12.11	14.81	8.15	17.2	17.43	13.18	4.415	2.59	1.94	1	1	1	1	1.535	17.45	1	1	3.04	1.99	1.005	4.505	17.14	8.16	1.215	7.59	9.225	7.69	12.045	2.64	5.85	13.855	6.36	4.18	4.55	1	9.575	6.045	10.39	22.85
BCYRN1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.025	1	45.865	1	1	1	1
BDH1	1	1	21.545	17.19	4.43	5.93	2.93	5	6.2	4.24	6.945	7.36	3.28	4.575	8.415	3.62	2.91	3.725	11.41	4.99	3.48	18.55	3.78	4.66	1.705	3.05	5.73	4.86	2.14	1.3	1	4.09	7.825	2.54	12.475	1.855	1	5.48	5.465	3.07	2.66	1.85	9.26
BDKRB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.015	1.88	4.14	1	1	1	4.295	1	1	1	1	15.13	1.75	6.475	1
BDKRB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15.515	6.095	14.82	1.075	1	1	8.99	1	1	1.08	1	23.17	19.91	3.485	1.12
BEGAIN	1	1	1	1	1	1.45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.84	1	1	1	1	25.74	1	2.07	1	1	1	1	1	1.26	1	1	1	1	1	1	2.96	1
BEND5	1	1	2.85	3.97	1	1	1	1	1	1	13.41	7.12	3.88	4.445	5.655	1.53	2.44	1	2.63	1	1	1.62	1	1	1	1	1	1.03	1	1	1	1	1	1	1	1	1	1	3.82	1	1	1	1.37
BEND6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.81	1	1	1	1	1	1	10.25	5.09	4.4	1.32	1	1	1.3	1	3.72	1	13.395	1.69	3.565	4.825	1.655
BEST1	43.27	9.605	5.19	1	1	1.17	1.04	1	1	1	1	1	1	5.355	2.205	1.96	6.13	9.59	1	1.1	1.09	2.81	11.33	5.945	1	1.11	6.99	1	1.535	1.32	1.525	1	6.475	1	1	1	2.42	2.31	1	3.785	1.42	1	1
BEST3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.87	1	1	3.14	1	1	1	1	1	1
BEX1	1	1	21.935	1	1	1	1	1	1	1	1	1	1	74.39	72.465	1	24.28	1	1	2.53	1	1	1	2.535	1	1	3.52	1	1	1	1	1	6.03	1	2	1	5.215	1	326.81	2.04	1	7.915	1
BEX2	1	1	116.11	27.47	9.84	17.13	13.31	12.53	9.42	6.81	6.355	11.85	7.83	175.76	122.525	93.13	114.28	1.05	22.05	9.51	11.08	1	1	1.555	1	1	1	5.63	1	1	1	6.065	1	1	10.495	1	1	1	253.14	1	1	3.59	6.555
