NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
MLC1	1	1.675	16.465	1	1	1	1	1	1.27	39.21	1	1	1	12.945	15.745	4.81	12.81	1	3.17	5.82	12.4	16.11	1	1	1	1	2.24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.97	1
MLEC	1.46	9.645	14.26	10.3	8.57	9.31	7.97	12.33	15.41	17.16	5.685	7.34	5.26	1.91	7.615	1.88	7.83	70.825	5.97	17.6	18.42	40.63	45.05	54.42	27.795	16.5	13.93	34.925	37.845	34.67	50.26	36.965	72.07	15.48	38.26	36.15	42.985	22.53	52.26	42.665	28.27	66.47	44.22
MLF1	1	1	3.755	1	1.08	1	1.3	1	1.29	1	1	1	1	7.35	7.44	1	1.11	1	1	1	2.86	1	1	1	2.77	1	1	1	5.315	3.87	3.59	4.05	1.395	7.79	4.645	1.71	4.09	1.13	40.575	1.13	1.205	4.94	5.175
MLIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.165	1	1	1	1	1	1	1	7.82	35.2	1	1.825	1	1	9.685	1	1	1	1
MLKL	45.1	24.18	1.79	14.38	12.43	11.27	11	7.01	11.64	13.04	2.9	7.33	5.95	3.78	5.42	3.44	13.76	20.51	12.69	3.13	6.19	27.6	10.34	19.78	9.21	1.44	100.09	30.5	6.19	3.175	3.225	4.515	4.455	1	8.835	15.3	2.56	6.4	1	3.11	5.41	4.905	5.135
MLLT1	9.79	5.645	1	5.25	3.22	3.8	2.43	2.69	3.98	4.15	2.965	2.96	1.74	1	2.275	1	1	3.845	6.63	1	1	8.89	3.89	3.97	6.14	4.66	15.97	7.04	9.175	7.245	2.31	3.24	2.405	3.94	8.415	5.97	2.91	3.45	1	5.28	3.63	10.25	18.245
MLLT11	1.84	1.805	24.66	1.76	1.22	1.45	1.1	1	1.31	2.25	1.09	1	1	11.52	9.81	13.24	10.72	1	3.24	6.76	37.82	1	1.11	1	2.75	1	1.07	1	1.24	1.045	1.5	2.79	1.045	1	5.41	2.045	7.855	1	107.275	2.335	1	19.925	9.355
MLLT3	1	1.765	450.715	64.56	16.37	15.21	9.48	8.52	10.63	9.03	1.945	1	1	1513.215	917.495	97.39	105.09	1.575	41.73	283.9	54.35	1.02	1.01	1	3.93	8.3	1	1	3.84	6.87	10.81	9.83	6.72	2.01	6.075	2.25	11.935	2.72	9.44	4.995	3.53	4.13	10.22
MLLT4	4.65	1.78	1.075	1.52	5.52	6.55	8.74	3.55	3.59	1.2	3.975	10.84	8.62	1	1.23	1	1	3.275	1	1	1.13	1	2.65	3.36	55.995	29	1.42	2.03	18.08	11.03	12.785	40.365	4.57	9.86	30.42	31.49	9.77	24.19	19.405	31.165	18.845	8.465	21.27
MLLT6	18.96	15.39	6.125	83.98	56.67	56.12	43.91	56.58	76.49	78.6	29.235	28.94	18.41	10.15	14.26	2.02	18.08	16.585	65.55	2.02	2.94	27.27	16.44	3.535	12.195	47.46	53.59	24.715	9.82	7.765	9.025	11.905	5.88	14.95	11.315	8.99	6.035	12.45	1	6.9	11.315	11.55	17.855
MLPH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.125	1	1	1	1	1.14	1	1	1	1	1	1.165	4.82	3.9	7	57.11	2.01	3.06	1	9.205	1.93	1	13.295	11.735	54.5	50.45
MLXIPL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.31	1	1	1	14.37	1	1	1	1	1
MMAB	1	2.44	97.99	6.83	3.26	4.11	2.5	4.19	5.04	6.96	5.345	5.58	3.62	33.385	24.54	55.11	47.1	24.11	6.85	33.72	27.14	13.88	27.07	25.735	8.855	17.87	1.02	5.37	12.01	14.43	11.425	18.19	15.925	6.15	44.42	14.84	6.63	7.52	9.21	12.87	24.27	28.05	28.97
MMD	1	7.585	7.41	8.85	5.9	6.26	6.35	3.25	3.44	5.62	34.245	9.27	4.45	6.075	3.7	8.92	7.04	21.985	37.77	9.14	10.8	1.49	8.76	10.525	4.23	36.65	6.79	2.62	3.82	5.83	5.305	6.745	3.525	2.35	5.85	8.055	8.02	40.98	18.085	7.975	27.88	1.95	8.455
MME	226.46	1.17	1	1	1	1	1	1	1	1	1.64	1	1.24	3.795	1.205	23.74	11.11	22.63	1	1	1	1	12.98	43.515	6.47	1	3.19	16.81	5.2	70.125	143.54	14.72	83.425	14.42	1.72	2.595	51.38	47.33	1	242.055	174.73	1.065	3.48
MMP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.57	1	1.04	1	248.2	1	1	1	6	13.465	173.24	2.03	2.12	1	24.385	752.445	30.725	1	1	213.885	117.49	16.35	3.835
MMP11	1	1	1	1.16	1	1	1	1	1	1	4.115	2.47	1.49	1	1	1	1	1	1	1	1	1	1	1	3.23	1	1	1	1.355	3.535	4.86	3.825	1	1	1	2.115	8.32	1	1	11.01	1	31.275	32.405
MMP12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.75	1	1	129.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1.465	1	1	1
MMP14	1	1.87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.175	1	1	1	1	97.77	15.62	86.545	24.91	1	1	123.905	123.865	180	115.995	106.605	5.55	308.36	91.8849999999999	94.945	44.28	2.27	270.59	109.57	449.65	241.35
MMP15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.465	1	1	1	1.325	1.235	1	8.355	3.125	1.67	5.3	4.495	1.32	1.53	1.57	3.38	1	3.965	16.665
MMP17	1	6.675	1	1	1	1	1	1	1	1	11.395	1	1	1	1	1	1	1	1	1	1	5.4	1	2.255	2.48	1	2.49	1	1	5.91	4.025	1.835	26.15	1	3.87	5.51	3.29	1.22	1	5.56	3.4	23.11	1.89
MMP19	1	1.185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.985	1	1	1	1.14	37.9	66.42	1	9.09	1	1	1.785	7.535	2.255	1	1	1	3.25	1.125	6.3	48.68	1	3.27	3	19.43	1.405
MMP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1.265	1	1	1	3.88	1	1	1	7.45	1.54	1	50.38	1	1	1	122.725	432.21	404.79	19.385	41.795	18.37	7.32	12.855	132.575	98.27	1	343.245	137.415	344.16	111.71
MMP23B	1	1	1	1	1	1	1	2.56	5.84	24.21	1	1	1	1	1	1	1	1	1.48	1	1	1	1	1	1	1.41	2.03	1	1	4.16	1.605	1.75	1	1	1.44	1	2.205	1.68	1	3.375	1	37.25	16.91
MMP25	319.71	6.26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.41	1	1	1	11.94	418.01	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MMP28	1	1	2.385	9.08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.445	1	1	1	1	1	1	1.01	1	1.25	28.94	1	1.995	8.75	1.07	1	1	1	1
MMP7	1	1	1	1	1	1	1	1	1	1	1	1	1	6.04	1	1	1	37.24	1	1	1	1	628.050000000001	1	1	9.3	1	1	1	1	1	1.095	1	1	1	1	1.13	1	1	1	1	1	137.675
MMP9	165.21	3.705	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	566.905	1	1	1	1	3091.99	2.305	1	23.81	23.58	1	1	1	1	1	1	1	145.935	1	1	1.25	1	1	1	1.08	1
MMRN1	1	1.005	6.42	1	1	1	1	1	1	1	1	1	1	35.965	21.305	3.3	10.99	1	1	8.22	416.1	1	1	1	345.565	1	1	1	1	1	1	1	1	1.04	1	89.645	1.035	7.45	1	1	1	1	1
MMRN2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	72.93	1	1	1	1.93	1.12	1.445	1.4	1	5.91	11.635	83.575	1.58	13.4	1	1	1.445	1.495	1
MN1	1	1.19	1	1	1	1	1	1	1	1	1	1	1	2.325	4.105	1	2.84	1	1	1	1	1	1	1	1	1	1	1	4.87	6.71	1.97	1.63	1	2.2	8.475	1	1	1	1	1.88	1.215	25.95	2.775
MND1	1	1	8.685	1	1	1	1	1	1	1	1	1	1	2.275	2.36	3.63	14.29	1	1	70.15	9.04	7.36	1	1	1.43	1	1	1	1.6	1.025	1.075	1.92	3.63	1	7.165	1.155	1	1	1	1.49	2.465	1	3.13
MNDA	1521.99	151.745	1	1	1	1	1	1	1	1	2.06	12.05	10.87	1	1	1	3.47	98.12	69.16	1	1	215.68	89.29	117.94	1	25.54	21.38	1	1	1	1	1	1	1	1	1	1	2.69	1	1	1	1	1
MNT	18.37	10.635	1	7.46	4.36	4.78	3.4	3.3	4.91	3.22	4.115	2.69	2.51	1.09	1.6	1	1	4.02	4.97	1	1	7.57	1.81	3.24	2.21	4.36	79.36	3.74	3.81	3.5	3.96	3.875	3.245	1.32	3.83	2.15	1.645	2.58	1	4.1	3.51	2.025	6
